iter	Passed	Remaining
0	0	33
1	0	35
2	1	32
3	1	31
4	1	30
5	1	29
6	2	29
7	2	29
8	2	28
9	3	28
10	3	27
11	3	27
12	4	27
13	4	27
14	4	27
15	5	27
16	5	26
17	5	26
18	6	25
19	6	25
20	6	25
21	7	25
22	7	25
23	8	25
24	8	25
25	9	26
26	9	26
27	10	25
28	10	25
29	10	25
30	11	24
31	11	24
32	11	24
33	12	23
34	12	23
35	12	22
36	13	22
37	13	22
38	13	21
39	14	21
40	14	21
41	14	20
42	15	20
43	16	20
44	16	20
45	17	20
46	17	19
47	17	19
48	18	18
49	18	18
50	18	18
51	19	17
52	19	17
53	20	17
54	20	16
55	20	16
56	20	15
57	21	15
58	21	14
59	21	14
60	22	14
61	22	13
62	22	13
63	23	13
64	23	12
65	24	12
66	24	12
67	25	11
68	25	11
69	25	11
70	26	10
71	26	10
72	26	9
73	27	9
74	27	9
75	28	8
76	28	8
77	29	8
78	29	7
79	30	7
80	30	7
81	30	6
82	31	6
83	31	5
84	31	5
85	32	5
86	32	4
87	32	4
88	33	4
89	33	3
90	34	3
91	34	3
92	35	2
93	35	2
94	36	1
95	36	1
96	37	1
97	37	0
98	38	0
99	38	0
