iter	Passed	Remaining
0	59	59300
1	59	29778
2	60	19940
3	60	15035
4	60	12106
5	61	10151
6	61	8740
7	61	7675
8	62	6870
9	63	6273
10	63	5731
11	64	5288
12	64	4901
13	64	4574
14	65	4285
15	65	4035
16	65	3813
17	66	3620
18	66	3443
19	66	3282
20	67	3145
21	67	3017
22	68	2895
23	68	2792
24	69	2692
25	69	2599
26	69	2512
27	70	2430
28	71	2378
29	71	2310
30	72	2250
31	72	2189
32	72	2132
33	73	2081
34	73	2034
35	74	1988
36	74	1945
37	75	1900
38	75	1860
39	75	1821
40	76	1785
41	76	1748
42	77	1721
43	77	1689
44	78	1659
45	78	1632
46	79	1604
47	79	1579
48	79	1551
49	80	1526
50	80	1503
51	81	1481
52	81	1461
53	82	1440
54	82	1418
55	83	1399
56	83	1378
57	83	1359
58	84	1340
59	84	1322
60	84	1308
61	85	1292
62	85	1277
63	86	1263
64	86	1247
65	87	1233
66	87	1218
67	87	1204
68	88	1194
69	88	1181
70	89	1167
71	89	1153
72	89	1140
73	90	1129
74	90	1119
75	91	1108
76	91	1095
77	91	1083
78	92	1076
79	92	1066
80	93	1057
81	93	1047
82	93	1036
83	94	1027
84	94	1018
85	95	1011
86	95	1002
87	96	995
88	96	989
89	97	980
90	97	972
91	97	964
92	98	957
93	98	948
94	98	942
95	99	934
96	99	927
97	99	920
98	100	913
99	100	907
100	101	902
101	101	895
102	102	889
103	102	882
104	102	875
105	103	870
106	103	863
107	104	859
108	105	859
109	105	853
110	105	847
111	106	842
112	106	836
113	106	831
114	107	825
115	107	819
116	107	814
117	108	810
118	108	805
119	109	802
120	109	796
121	109	791
122	110	786
123	110	782
124	111	778
125	111	774
126	111	769
127	112	764
128	112	762
129	113	758
130	113	754
131	114	751
132	114	748
133	115	743
134	115	739
135	115	734
136	115	730
137	116	725
138	116	721
139	116	717
140	117	712
141	117	707
142	117	703
143	117	699
144	117	695
145	118	691
146	118	688
147	119	686
148	119	682
149	119	679
150	120	675
151	120	672
152	120	669
153	121	666
154	121	664
155	122	660
156	122	659
157	123	655
158	123	652
159	123	649
160	123	645
161	124	642
162	124	639
163	125	638
164	125	635
165	125	632
166	126	630
167	126	627
168	127	625
169	127	622
170	127	620
171	128	619
172	129	617
173	129	615
174	130	613
175	130	611
176	130	608
177	131	606
178	131	603
179	132	601
180	132	598
181	132	596
182	132	593
183	133	591
184	133	588
185	133	585
186	134	584
187	134	581
188	135	580
189	135	578
190	136	576
191	136	574
192	137	573
193	137	570
194	137	568
195	138	567
196	138	564
197	138	562
198	139	560
199	139	558
200	140	556
201	140	555
202	140	553
203	141	551
204	141	549
205	142	548
206	142	546
207	143	545
208	143	543
209	143	541
210	144	539
211	144	537
212	145	536
213	145	535
214	146	534
215	146	532
216	147	531
217	147	529
